Date	Latitude	Longitude
25/12/18	43.4640246	11.8604618783
30/08/18	41.1140866	16.4863974
16/11/18	38.1937571	15.5542082
27/01/19	44.1118716	9.9587463
18/09/18	45.4667971	9.1904984
03/11/18	44.9928402	9.0085929
10/01/19	45.6500335	13.7706559
23/12/18	38.6630115	16.1131668
29/12/18	38.6630115	16.1131668
23/12/18	38.6630115	16.1131668
23/12/18	38.6630115	16.1131668
23/12/18	38.6630115	16.1131668
01/02/19	40.961323	15.814863
01/02/19	41.1257843	16.8620293
14/03/19	41.011412	14.124825
14/03/19	40.8359336	14.2487826
